"grid_label","nx","ny","n","mean_est_range","median_est_range","mean_est_sigma","median_est_sigma","mean_abs_err_range","mean_abs_err_sigma","mean_surface_rmse","mean_surface_corr"
"18x14",18,14,252,0.204599037263908,0.178757692346129,0.334346997021533,0.328088464140986,0.0473188160631607,0.0403905151538578,0.126571312604454,0.932689757114252
"24x18",24,18,432,0.213567993712863,0.213030526420941,0.327789687669598,0.314578622911935,0.0193028152996933,0.0322822981897479,0.117851057579329,0.941919258454422
