"nx","ny","n","rep","est_range","est_sigma","est_beta","abs_err_range","abs_err_sigma","surface_rmse","surface_corr"
30,24,720,1,0.232258110470688,0.340871860506257,0.183190548412661,0.0122581104706884,0.00912813949374314,0.109259306672484,0.950144248157977
30,24,720,2,0.252179443987392,0.381751105837405,0.246933391065909,0.0321794439873922,0.031751105837405,0.112411628361367,0.954469255446723
36,28,1008,1,0.225482623472097,0.374409009413137,0.363328926252238,0.0054826234720966,0.0244090094131368,0.096547457754998,0.968403011117139
36,28,1008,2,0.207351358385877,0.334587350992652,0.205543806300246,0.0126486416141226,0.0154126490073485,0.102219295182975,0.954088742263787
