"prior_mode","noise_sd","n_total","n_valid","p_matern","p_nonspatial","p_tie","mean_delta","median_delta"
"none",0.2,6,6,0.333333333333333,0.5,0.166666666666667,0.569860845404097,-1.50733073613907e-05
"pc",0.2,6,6,0,1,0,-7.5470241846596,-8.17133566801437
