"grid_label","nx","ny","n","mean_est_range","q10_est_range","q50_est_range","q90_est_range","q10_range_over_mesh","q50_range_over_mesh","q90_range_over_mesh","mean_surface_corr"
"18x14",18,14,252,0.0605690158469056,0.055163980857317,0.0607163321284908,0.0658267345549091,0.689549760716463,0.758954151606135,0.822834181936364,0.92387071920383
"24x18",24,18,432,0.0402787601414829,0.0376095992206737,0.0386795162733164,0.0445471649304587,0.470119990258421,0.483493953416455,0.556839561630734,0.917479353482487
