"setting","grid_label","nx","ny","n","rep","status","error_message","loglik_matern","loglik_iid","delta","selection","est_range","est_sigma","est_beta","range_over_mesh","iid_mean","iid_sigma","surface_rmse","surface_corr"
"smooth_truth","18x14",18,14,252,1,"ok",NA,-67.0198334288008,-151.725510787687,84.7056773588861,"matern",0.341553872680696,0.448434956851026,0.0921693224299431,4.2694234085087,0.205324501881086,0.415577592700234,0.124161742495358,0.958634150158827
"smooth_truth","18x14",18,14,252,2,"ok",NA,-50.0482929230476,-74.2776542794698,24.2293613564222,"matern",0.190193568938202,0.287846236501223,0.219163043955497,2.37741961172753,0.205368498300956,0.288220345751997,0.121785911613526,0.91041007349791
"smooth_truth","18x14",18,14,252,3,"ok",NA,-68.5993764185344,-122.205351269108,53.6059748505732,"matern",0.226682536305205,0.353506003951208,0.273155536290551,2.83353170381506,0.242226014816274,0.363226167452747,0.131756466411297,0.93533782686064
"smooth_truth","18x14",18,14,252,4,"ok",NA,-82.0217220244172,-123.330765195052,41.3090431706349,"matern",0.195958259183424,0.35103815706036,0.17997897130671,2.4494782397928,0.200792073786971,0.365128474138852,0.123968678992238,0.940536873213416
"smooth_truth","18x14",18,14,252,5,"ok",NA,-74.0798707580907,-104.241454256213,30.1615834981221,"matern",0.185250253580297,0.328633927035152,0.307100604778007,2.31562816975371,0.341216441758767,0.333786063550888,0.128700243875299,0.925337678497311
"smooth_truth","18x14",18,14,252,6,"ok",NA,-73.6384142925641,-106.828480578341,33.190066285777,"matern",0.181893828150549,0.318529870827059,0.13652899064188,2.27367285188186,0.132117178842665,0.337921929638253,0.12873860134044,0.926222310667301
"smooth_truth","24x18",24,18,432,1,"ok",NA,-75.8938189905608,-237.788914049351,161.89509505879,"matern",0.234440896571371,0.384860953862785,0.243185737579443,2.93051120714214,0.220687434945171,0.391851143639268,0.122531491175603,0.952690559112386
"smooth_truth","24x18",24,18,432,2,"ok",NA,-28.2467944417297,-158.681293221015,130.434498779285,"matern",0.226861773055492,0.314237071613461,0.118717219067579,2.83577216319365,0.130465870575432,0.315531882308533,0.116420505233189,0.932193734550467
"smooth_truth","24x18",24,18,432,3,"ok",NA,-75.9013490578748,-196.308638428362,120.407289370488,"matern",0.184910918907068,0.321731970042386,0.135490324041152,2.31138648633835,0.119661042893172,0.350410614426311,0.120476728846228,0.938525378709741
"smooth_truth","24x18",24,18,432,4,"ok",NA,-48.4371755434086,-205.899671790203,157.462496246794,"matern",0.275281024642101,0.375776732245572,0.31092965233895,3.44101280802626,0.34776388513644,0.359699953842822,0.112963194464773,0.949366911220034
"smooth_truth","24x18",24,18,432,5,"ok",NA,-56.1925974456224,-185.670490512303,129.477893066681,"matern",0.213286924951248,0.326519700588065,0.341880025888987,2.6660865618906,0.32877605289336,0.340301832148418,0.123647015694671,0.938750899958131
"smooth_truth","24x18",24,18,432,6,"ok",NA,-27.5641925336809,-155.983542580149,128.419350046468,"matern",0.226829111656204,0.316840181274356,0.293952356174401,2.83536389570255,0.333025784762613,0.313121597752777,0.111130690514599,0.93985699523146
"iid_truth","18x14",18,14,252,1,"ok",NA,-120.610624013671,-106.829748044046,-13.7808759696245,"iid",0.0555037001908099,0.364131076152555,0.195444325012682,0.693796252385123,0.19840050602381,0.337923702681812,0.143228743440156,0.916068810911146
"iid_truth","18x14",18,14,252,2,"ok",NA,-112.958623536497,-100.68936653659,-12.269256999907,"iid",0.062154956954809,0.339992034953163,0.159464103928958,0.776936961935112,0.160823053785673,0.328162586552633,0.128713393998984,0.936738664660623
"iid_truth","18x14",18,14,252,3,"ok",NA,-114.006069291823,-103.582977478146,-10.4230918136773,"iid",0.0666096491108942,0.336894653386465,0.232190685735077,0.832620613886178,0.228878567975239,0.332738830959339,0.137509668991115,0.915716575946054
"iid_truth","18x14",18,14,252,4,"ok",NA,-139.647246567588,-125.907240949857,-13.7400056177304,"iid",0.0548242615238241,0.399954312537901,0.172131145578708,0.685303269047802,0.170538796424425,0.369510242254442,0.135766885757398,0.931634980201327
"iid_truth","18x14",18,14,252,5,"ok",NA,-133.507118694295,-121.403937032648,-12.1031816616473,"iid",0.0592777073021727,0.379672207798577,0.194381455208192,0.740971341277158,0.195026485922018,0.36187581249663,0.137112343127859,0.921945350974725
"iid_truth","18x14",18,14,252,6,"ok",NA,-130.481176638089,-118.647183375514,-11.8339932625757,"iid",0.065043819998924,0.365724789924821,0.225332193705049,0.81304774998655,0.221322292625209,0.357257811702621,0.143533550569421,0.921119932529104
"iid_truth","24x18",24,18,432,1,"ok",NA,-207.818650028265,-187.026076864559,-20.7925731637065,"iid",0.0372508007288493,0.476630551666137,0.192447054767416,0.465635009110617,0.189257752222696,0.341578761457676,0.135477202936332,0.915304041379282
"iid_truth","24x18",24,18,432,2,"ok",NA,-211.529385021071,-193.713640716049,-17.8157443050216,"iid",0.0420930762610491,0.451998751263952,0.186086254773855,0.526163453263113,0.185895634107241,0.347925957087213,0.140592783249069,0.914381478419294
"iid_truth","24x18",24,18,432,3,"ok",NA,-191.394400175066,-172.479897126792,-18.914503048274,"iid",0.0387909887087724,0.445877693083861,0.209071306821533,0.484887358859655,0.207550040594527,0.328042806654147,0.147177431077241,0.903925075220245
"iid_truth","24x18",24,18,432,4,"ok",NA,-227.685028192723,-210.107539143164,-17.5774890495589,"iid",0.0385680438378603,0.49473611630695,0.212043538961496,0.482100547973254,0.212582654765597,0.363829488605054,0.137582439249499,0.923671972903162
"iid_truth","24x18",24,18,432,5,"ok",NA,-213.218774671071,-194.729365257121,-18.4894094139501,"iid",0.0379683977124981,0.479408399521598,0.185927831020195,0.474604971406226,0.185758058672801,0.348896985520497,0.134703298714328,0.92419462769825
"iid_truth","24x18",24,18,432,6,"ok",NA,-203.024628727073,-192.15296749124,-10.8716612358331,"iid",0.0470012535998684,0.420992620225394,0.194265764533297,0.587515669998355,0.193752976643888,0.346437576598593,0.137206790023923,0.923398925274689
