"setting","grid_label","nx","ny","n","n_valid","p_matern","p_iid","p_tie","mean_delta","median_delta"
"iid_truth","18x14",18,14,252,6,0.5,0.5,0,0.0222963275082364,0.115426413305727
"iid_truth","24x18",24,18,432,6,0.5,0.5,0,-0.201363847477126,-0.491530517995272
"smooth_truth","18x14",18,14,252,6,1,0,0,48.9488646977119,41.9392540327435
"smooth_truth","24x18",24,18,432,6,1,0,0,142.291098376667,134.34178851155
