"cell_id","cell_index","regime","regime_label","tau0","n","domain_length","stage","rep","seed","status","error_message","loglik_matern","loglik_iid","delta","selection","fitted_range","fitted_sigma","fitted_beta","range_over_mesh","iid_mean","iid_sigma"
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",2,20460415,"ok",NA,-36.581438140718,-36.1342499481491,-0.447188192568888,"iid",0.00132428749305929,2.28977971691206,0.272172411140396,0.0264857498611859,0.271549474901307,0.562664185263856
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",3,20460416,"ok",NA,-23.2389169352135,-22.9384977404255,-0.30041919478802,"iid",4.02034059243622e-10,2791.58910898509,0.369898235826474,8.04068118487245e-09,0.364987058731394,0.379926366317089
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",4,20460417,"ok",NA,-32.0277468295004,-31.8465170872473,-0.181229742253137,"iid",0.00040354863387282,3.64197481109329,0.262287940897485,0.0080709726774564,0.250319171339525,0.497777295030068
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",5,20460418,"ok",NA,-28.3101965734819,-27.9994877785627,-0.310708794919272,"iid",0.00120772506178394,1.88575395344785,0.289221866568813,0.0241545012356787,0.283883372465359,0.444325550030798
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",6,20460419,"ok",NA,-34.0294875556578,-33.5391207307083,-0.490366824949533,"iid",0.00075035451925534,2.82795801117436,0.300737210480933,0.0150070903851068,0.306471271515521,0.522683062681057
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",7,20460420,"ok",NA,-31.7104985470766,-31.7382093214469,0.0277107743702487,"matern",0.00105018131501243,2.23866010840167,0.291830205654503,0.0210036263002487,0.277350478434435,0.496213658999271
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",8,20460421,"ok",NA,-31.0612756214772,-31.3231092813112,0.261833659834025,"matern",0.0193775377928897,0.558475051366911,0.369872051227622,0.387550755857794,0.368150534017454,0.490253565781085
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",9,20460422,"ok",NA,-24.3982163136809,-23.9337836811469,-0.464432632534013,"iid",1.48850103544952e-13,150414.856381426,0.184395954674332,2.97700207089904e-12,0.180216581308246,0.392109640905694
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",10,20460423,"ok",NA,-33.1678960816685,-33.137104100408,-0.0307919812604354,"iid",0.0235996250019313,0.558834228385911,0.351866418233754,0.471992500038627,0.340759110690272,0.51668646522893
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",11,20460424,"ok",NA,-30.1571468960372,-31.3875403862801,1.23039349024296,"matern",0.00142454938900718,1.84389193348805,0.120368961376111,0.0284909877801436,0.128557050959585,0.491175281388469
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",12,20460425,"ok",NA,-34.6109666944884,-34.2148371972211,-0.396129497267211,"iid",0.0226008092606163,0.589037513833785,0.131628205159874,0.452016185212327,0.134146205945595,0.532878954501858
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",13,20460426,"ok",NA,-22.6342212659866,-22.4730506869524,-0.16117057903417,"iid",4.83608960416813e-12,24982.9063977713,0.48594379736217,9.67217920833625e-11,0.47723176676061,0.374304220385339
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",14,20460427,"ok",NA,-24.1650673044324,-26.139379746109,1.97431244167652,"matern",0.0152778240015625,0.499015804657336,0.27659178604482,0.305556480031249,0.278877932957038,0.419927523695898
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",15,20460428,"ok",NA,-27.3629260990111,-27.4764081037406,0.113482004729541,"matern",0.000677568303098555,2.44971425166543,0.344235364474702,0.0135513660619711,0.34503021836706,0.437374073159663
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",16,20460429,"ok",NA,-28.0151789873293,-27.6626556425883,-0.352523344740938,"iid",0.000536885222443737,2.80220367494006,0.269500560710965,0.0107377044488747,0.271429802548584,0.439840943887388
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",17,20460430,"ok",NA,-32.4176157645295,-32.2214770459221,-0.196138718607443,"iid",0.0200027944372794,0.574491180207647,0.349546028192041,0.400055888745588,0.341924608013856,0.503218114201026
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",18,20460431,"ok",NA,-33.6538421218175,-33.318769988274,-0.335072133543505,"iid",0.000757275703475183,2.78578260591219,0.364789469402336,0.0151455140695037,0.368149310414111,0.519389889975125
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",19,20460432,"ok",NA,-32.8895288966669,-32.5108679340562,-0.378660962610695,"iid",0.00282335271884526,1.41377532158037,0.312943047832768,0.0564670543769051,0.309543862156526,0.507446743353053
"fixed_domain__tau0_0.5__n_40",2,"fixed_domain","fixed-domain",0.5,40,1,"pilot",20,20460433,"ok",NA,-30.5913382919859,-31.0374881083157,0.446149816329836,"matern",0.030869538083137,0.490140302844735,0.422400307518693,0.617390761662739,0.419387878156546,0.486182412514649
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",1,20560414,"ok",NA,-17.7903324163915,-8.83984235664082,-8.95049005975063,"iid",0.00136349183422032,0.000238875408116413,0.274336621259242,0.0272698366844065,0.274336643246949,0.181742696928965
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",2,20560415,"ok",NA,-6.04821523948397,-6.13101582877312,0.0828005892891426,"matern",0.0127506196251847,0.177122803341069,0.270117148134483,0.255012392503693,0.268253847639283,0.168072300730676
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",3,20560416,"ok",NA,-6.99129750534194,-6.74583213818045,-0.245465367161497,"iid",0.000204307899160762,1.23877520554922,0.274702223011728,0.00408615798321524,0.273881254557746,0.171188369955811
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",4,20560417,"ok",NA,-12.5048419551807,-12.8227142495099,0.317872294329206,"matern",0.0140921330015643,0.208339025362705,0.281718518243705,0.281842660031286,0.279384741989249,0.201684013546761
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",5,20560418,"ok",NA,-24.4621469471254,-12.3367106065994,-12.125436340526,"iid",6.06278080343013e-05,0.00107142615247053,0.300802888966613,0.00121255616068603,0.300802846140857,0.19925408655056
"fixed_domain__tau0_0.2__n_80",3,"fixed_domain","fixed-domain",0.2,80,1,"pilot",6,20560419,"ok",NA,-42.5867391868448,-20.5327702036007,-22.0539689832441,"iid",3.50140762682506e-05,0.000786326214329509,0.308000072632068,0.000700281525365012,0.308000067599318,0.240471807147029
