"setting","grid_label","nx","ny","n","rep","status","error_message","loglik_matern","loglik_iid","delta","selection","est_range","est_sigma","est_beta","range_over_mesh","iid_mean","iid_sigma","surface_rmse","surface_corr"
"smooth_truth","12x10",12,10,120,1,"ok",NA,-63.7434907022355,-73.1928590370683,9.44936833483281,"matern",0.230582477897147,0.405767375843733,0.236249559814482,2.88228097371434,0.252305837564015,0.419279941647153,0.129614673858346,0.948696333975886
"smooth_truth","12x10",12,10,120,2,"ok",NA,-37.9000666256419,-49.0817253147282,11.1816586890864,"matern",0.271274797860519,0.33871858680906,0.2101856888933,3.39093497325649,0.206442030436391,0.331927084039724,0.153907945142931,0.903738961185326
"iid_truth","12x10",12,10,120,1,"ok",NA,-71.1223131359172,-63.01903689777,-8.10327623814717,"iid",0.0970343925542738,0.371877804383766,0.187534941902488,1.21292990692842,0.186958676573219,0.38061540432271,0.114816235981983,0.950492628378495
"iid_truth","12x10",12,10,120,2,"ok",NA,-65.2091051327096,-55.760604938559,-9.44850019415068,"iid",0.0837318032764794,0.357572366936189,0.233816799083106,1.04664754095599,0.231969404626311,0.354679691889224,0.127603644572815,0.928280503314115
