"cell_id","regime","regime_label","tau0","n","rep","seed","status","error_message","loglik_iid","loglik_matern_original","loglik_matern_refined","delta_original","delta_refined","selection_original","selection_refined","fitted_range_original","fitted_range_refined","range_ratio_refined","flip_to_iid"
"fixed_domain__tau0_0.5__n_40","fixed_domain","fixed-domain",0.5,40,1,20360414,"ok",NA,-25.720487222719,-23.7041515392479,-23.7041515392479,2.01633568347115,2.01633568347115,"matern","matern",0.0475590941889705,0.0475590941889705,1,FALSE
"fixed_domain__tau0_0.5__n_40","fixed_domain","fixed-domain",0.5,40,2,20360415,"ok",NA,-28.7018318296131,-27.5428671451431,-27.5428671451431,1.15896468447001,1.15896468447001,"matern","matern",0.000747155731741888,0.000747155731741888,1,FALSE
"fixed_domain__tau0_0.5__n_40","fixed_domain","fixed-domain",0.5,40,4,20360417,"ok",NA,-22.9231782613525,-22.112421257262,-22.112421257262,0.810757004090469,0.810757004090469,"matern","matern",0.0311077842763296,0.0311077842763296,1,FALSE
"fixed_domain__tau0_0.5__n_40","fixed_domain","fixed-domain",0.5,40,7,20360420,"ok",NA,-34.8015624846415,-34.007289616722,-34.007289616722,0.794272867919588,0.794272867919588,"matern","matern",0.0273705316357575,0.0273705316357575,1,FALSE
