"n","domain_length","mean_est_range","sd_est_range","median_est_range","mean_est_sigma","sd_est_sigma","median_est_sigma","mean_abs_err_range","mean_abs_err_sigma","mean_surface_rmse","mean_surface_corr"
80,1,0.172901443938409,0.046030726514785,0.1926400625126,0.252720280959989,0.0658688817232331,0.27621155897033,0.0281694503494495,0.0485509558429441,0.0325934994590474,0.989818379716556
160,2,0.178429082682198,0.0125547557754512,0.176733035474494,0.255655007684062,0.0355630565844245,0.26075774351387,0.0215709173178022,0.0443449923159384,0.033200115389692,0.991776509720326
320,4,0.205109309885962,0.015794405053327,0.202214200037104,0.302411268764965,0.0348495470572637,0.287921672384101,0.0105282956644333,0.0244566995157212,0.0306355295340624,0.994932715318338
640,8,0.195437031512766,0.0194914690205419,0.188352427508675,0.294923282774988,0.0255136912154215,0.28609508092291,0.0166321257830946,0.0212747732875729,0.0321852831927453,0.994105008423631
