"setting","grid_label","nx","ny","n","rep","status","error_message","loglik_matern","loglik_iid","delta","selection","est_range","est_sigma","est_beta","range_over_mesh","iid_mean","iid_sigma","surface_rmse","surface_corr"
"smooth_truth","12x10",12,10,120,1,"ok",NA,-59.7452473583872,-73.1928590370683,13.4476116786812,"matern",0.209857941093801,0.3893504764567,0.23883163954484,2.62322426367251,0.252305837564015,0.419279941647153,0.129735143608918,0.948570873519598
"smooth_truth","12x10",12,10,120,2,"ok",NA,-33.9518552478131,-49.0817253147282,15.1298700669152,"matern",0.242703148141956,0.319649069490466,0.209519090579277,3.03378935177445,0.206442030436391,0.331927084039724,0.153521122826024,0.90440964382911
"iid_truth","12x10",12,10,120,1,"ok",NA,-63.3114721678067,-63.01903689777,-0.292435270036691,"iid",0.0519650114687415,0.451200613903669,0.183989721472805,0.649562643359269,0.186958676573219,0.38061540432271,0.114393910323595,0.950845488931326
"iid_truth","12x10",12,10,120,2,"ok",NA,-56.2307837187335,-55.760604938559,-0.470178780174507,"iid",0.0392663251717684,0.498253851891837,0.234965131393494,0.490829064647105,0.231969404626311,0.354679691889224,0.127951168782289,0.927841571150707
