"stage","true_component_type","n_components","mean_loading_cor","mean_factor_cor","mean_loading_mse","mean_factor_mse"
"original","spatial",4,0.563818272979429,0.49352801878853,0.0132601354169563,107.306064246627
"original","nonspatial",3,0.914095868775989,0.973515461865191,0.00269956564881612,2.90947819970341
"selective","spatial",4,0.612874589128456,0.464673710377251,0.0116679400999798,108.498780338941
"selective","nonspatial",3,0.76302194482122,0.985798832333778,0.00775551460301713,3.16359704139075
"original","overall",7,0.713937242606526,0.699236922964242,0.00873417694489625,62.5646702265166
"selective","overall",7,0.677223455853926,0.68801304835862,0.00999118631556725,63.3551303542767
