"factor_k","status","error_message","loglik_matern","loglik_nonspatial","delta","selection","matern_beta","nonspatial_beta","matern_noise_sd","nonspatial_noise_sd","matern_range","matern_sigma","rep","seed"
1,"ok",NA,-101.868930184958,-102.720682079763,0.851751894805773,"spatial",0.0794571617645674,0.0688910367000917,0.0126835808572052,1.20450913161271,0.000831745972327687,69.6909362009854,1,20260419
2,"ok",NA,-86.146321109804,-86.1569824450148,0.0106613352107132,"spatial",0.0807023993434978,0.0838652214863128,0.747867602063183,0.929846572267516,0.0385511074057321,0.821856225551078,1,20260419
3,"ok",NA,15.2381592151654,-14.0401826825549,29.2783418977202,"spatial",0.160503054544171,0.231989348473842,0.0323133583658341,0.301326561987868,0.505301964122142,0.265121660409955,1,20260419
1,"ok",NA,-41.4901859275489,-48.2161866487856,6.72600072123674,"spatial",-0.0643966149003882,-0.071257935828347,0.368088807410884,0.513985298118983,0.486522380402911,0.323441274019667,2,20260420
2,"ok",NA,-69.5178862330256,-69.6880495029713,0.170163269945647,"spatial",-0.0782080003659958,-0.08219609405455,0.686269762625173,0.718878615394991,0.367219060504882,0.201887323615092,2,20260420
3,"ok",NA,-72.5977859322512,-73.3286298570276,0.730843924776408,"spatial",0.114970515300146,0.131483531745878,0.00599366530073798,0.760956798823915,0.000551594195779894,66.5091256866074,2,20260420
4,"ok",NA,-0.234114504545222,-28.2444070743764,28.0102925698311,"spatial",0.249546914273257,0.343827216674916,0.00122217792185416,0.3762055262108,0.485809783699549,0.336613599837879,2,20260420
