"scenario","range_prob","sigma_prob","fitted_range","fitted_sigma","fitted_beta","stepA_mlik_integration","stepA_mlik_gaussian","stepA_log_posterior_mode","stepA_max_log_posterior","stepA_joint_log_posterior","exact_loglik_at_stepA_mode","stepB_mlik_integration","stepB_mlik_gaussian"
"balanced",0.5,0.5,0.303480664934977,0.36299685321972,0.195837442966135,-97.0027537420348,-94.8771946031736,-92.516544862773,-92.5165448940985,-96.7150717,-89.0520580463022,-89.0520580532071,-89.0520580532071
"smooth_lowvar",0.1,0.1,0.310747279611711,0.364053012382149,0.195599562753989,-97.8717552563168,-95.7461961174556,-93.3600164622922,-93.3600165410098,-97.58407326,-89.0829460311385,-89.082946019336,-89.082946019336
"rough_highvar",0.9,0.9,0.300609008894933,0.362631428470558,0.195930724339529,-99.5690591948348,-97.4435000559737,-95.0908439539366,-95.0908439794465,-99.28137715,-89.0486500003413,-89.0486500879156,-89.0486500879156
