"param_id","range","sigma","beta0","exact_loglik","dense_loglik","abs_diff"
1,0.2,0.4,0,-37.9477467596181,-37.947746759618,5.6843418860808e-14
2,0.3,0.7,0.5,-29.9495570712697,-29.9495570712697,2.8421709430404e-14
3,0.12,0.25,-0.2,-59.0515375892132,-59.0515375892132,4.9737991503207e-14
4,0.18,0.55,0.3,-26.5434420446778,-26.5434420446778,1.06581410364015e-14
5,0.26,0.35,-0.1,-54.4320464675409,-54.4320464675409,2.8421709430404e-14
