"cell_id","regime","regime_label","tau0","n","rep","seed","status","error_message","loglik_iid","loglik_matern_original","loglik_matern_refined","delta_original","delta_refined","selection_original","selection_refined","fitted_range_original","fitted_range_refined","range_ratio_refined","flip_to_iid"
"fixed_domain__tau0_0.2__n_80","fixed_domain","fixed-domain",0.2,80,44,20560457,"ok",NA,-19.9434217103536,-19.6189240723714,-19.6189240723714,0.324497637982184,0.324497637982184,"matern","matern",0.000232335034143555,0.000232335034143555,1,FALSE
"fixed_domain__tau0_0.2__n_80","fixed_domain","fixed-domain",0.2,80,11,20560424,"ok",NA,-9.507052594472,-8.76053629257218,-8.76053629257218,0.746516301899824,0.746516301899824,"matern","matern",0.000299077810373046,0.000299077810373046,1,FALSE
"fixed_domain__tau0_0.5__n_80","fixed_domain","fixed-domain",0.5,80,27,20660440,"ok",NA,-61.7034218530603,-61.584505426053,-61.584505426053,0.118916427007321,0.118916427007321,"matern","matern",0.000677408234170595,0.000677408234170595,1,FALSE
"fixed_domain__tau0_0.5__n_80","fixed_domain","fixed-domain",0.5,80,50,20660463,"ok",NA,-58.8274463948244,-58.3751452914852,-58.3751452914852,0.452301103339238,0.452301103339238,"matern","matern",0.00427029744639983,0.00427029744639983,1,FALSE
"fixed_domain__tau0_0.5__n_80","fixed_domain","fixed-domain",0.5,80,5,20660418,"ok",NA,-73.1444812285527,-72.4351211722206,-72.4351211722206,0.709360056332088,0.709360056332088,"matern","matern",0.0143389361691697,0.0143389361691697,1,FALSE
"fixed_domain__tau0_0.5__n_80","fixed_domain","fixed-domain",0.5,80,11,20660424,"ok",NA,-61.9369865595701,-61.1861757225621,-61.1861757225621,0.750810837007975,0.750810837007975,"matern","matern",0.0115851321192518,0.0115851321192518,1,FALSE
"fixed_domain__tau0_0.5__n_80","fixed_domain","fixed-domain",0.5,80,44,20660457,"ok",NA,-62.4519126123573,-62.0727606235829,-62.0727606235829,0.379151988774424,0.379151988774424,"matern","matern",0.000162360841848519,0.000162360841848519,1,FALSE
"fixed_domain__tau0_0.5__n_80","fixed_domain","fixed-domain",0.5,80,32,20660445,"ok",NA,-76.4399326652066,-76.4356200877902,-76.4356200877902,0.00431257741644231,0.00431257741644231,"matern","matern",0.00174551651514097,0.00174551651514097,1,FALSE
"fixed_domain__tau0_0.5__n_80","fixed_domain","fixed-domain",0.5,80,18,20660431,"ok",NA,-68.9727667204539,-67.7569592389352,-67.7569592389352,1.21580748151865,1.21580748151865,"matern","matern",0.00846115849765603,0.00846115849765603,1,FALSE
"fixed_domain__tau0_0.5__n_80","fixed_domain","fixed-domain",0.5,80,13,20660426,"ok",NA,-61.3576466485595,-59.880873277459,-59.880873277459,1.47677337110048,1.47677337110048,"matern","matern",0.0129394593759833,0.0129394593759833,1,FALSE
"fixed_domain__tau0_0.5__n_80","fixed_domain","fixed-domain",0.5,80,47,20660460,"ok",NA,-67.5534533120322,-66.5667589383225,-66.5667589383225,0.986694373709724,0.986694373709724,"matern","matern",0.0149092537157682,0.0149092537157682,1,FALSE
"fixed_domain__tau0_0.5__n_80","fixed_domain","fixed-domain",0.5,80,53,20660466,"ok",NA,-61.9291386816498,-61.8265357585434,-61.8265357585434,0.10260292310636,0.10260292310636,"matern","matern",0.000183943137911349,0.000183943137911349,1,FALSE
"fixed_domain__tau0_0.2__n_160","fixed_domain","fixed-domain",0.2,160,4,20760417,"ok",NA,-33.5953372818893,-33.4753830435183,-33.4753830435183,0.119954238370994,0.119954238370994,"matern","matern",0.00332064526085109,0.00332064526085109,1,FALSE
"fixed_domain__tau0_0.2__n_160","fixed_domain","fixed-domain",0.2,160,7,20760420,"ok",NA,-30.1450575950656,-30.0595043779897,-30.0595043779897,0.0855532170759261,0.0855532170759261,"matern","matern",2.10984697150994e-06,2.10984697150994e-06,1,FALSE
"fixed_domain__tau0_0.2__n_160","fixed_domain","fixed-domain",0.2,160,16,20760429,"ok",NA,-3.4675433861463,-3.16104448323883,-3.16104448323883,0.306498902907478,0.306498902907478,"matern","matern",0.00538711205617757,0.00538711205617757,1,FALSE
"fixed_domain__tau0_0.2__n_160","fixed_domain","fixed-domain",0.2,160,18,20760431,"ok",NA,-26.5973597900857,-26.4119830912601,-26.4119830912601,0.185376698825607,0.185376698825607,"matern","matern",0.000159050235008523,0.000159050235008523,1,FALSE
"fixed_domain__tau0_0.5__n_160","fixed_domain","fixed-domain",0.5,160,9,20860422,"ok",NA,-123.009895053027,-122.817468053899,-122.817468053899,0.192426999128315,0.192426999128315,"matern","matern",1.15811408534946e-09,1.15811408534946e-09,1,FALSE
"fixed_domain__tau0_0.5__n_160","fixed_domain","fixed-domain",0.5,160,48,20860461,"ok",NA,-123.809733690246,-123.598095386196,-123.598095386196,0.211638304049814,0.211638304049814,"matern","matern",0.000125725788476512,0.000125725788476512,1,FALSE
"fixed_domain__tau0_0.5__n_160","fixed_domain","fixed-domain",0.5,160,45,20860458,"ok",NA,-138.557648841103,-137.776393526154,-137.776393526154,0.781255314948623,0.781255314948623,"matern","matern",0.00646233741780467,0.00646233741780467,1,FALSE
"fixed_domain__tau0_0.5__n_160","fixed_domain","fixed-domain",0.5,160,39,20860452,"ok",NA,-118.359149533786,-115.753908427773,-115.753908427773,2.6052411060133,2.6052411060133,"matern","matern",0.00593120843741493,0.00593120843741493,1,FALSE
"fixed_domain__tau0_0.5__n_160","fixed_domain","fixed-domain",0.5,160,3,20860416,"ok",NA,-122.119453279357,-121.814182670827,-121.814182670827,0.305270608529383,0.305270608529383,"matern","matern",0.000647390669141406,0.000647390669141406,1,FALSE
"fixed_domain__tau0_0.5__n_160","fixed_domain","fixed-domain",0.5,160,5,20860418,"ok",NA,-144.004603687381,-143.35710244881,-143.35710244881,0.647501238571124,0.647501238571124,"matern","matern",5.35456976250874e-05,5.35456976250874e-05,1,FALSE
"fixed_domain__tau0_0.5__n_160","fixed_domain","fixed-domain",0.5,160,17,20860430,"ok",NA,-116.085616760872,-115.787485124121,-115.787485124121,0.298131636750952,0.298131636750952,"matern","matern",8.09433546137988e-27,8.09433546137988e-27,1,FALSE
