"range","sigma","profiled_beta","loglik","relative_loglik"
0.132,0.21,0.228301431815933,-116.942520997371,-77.505723772542
0.15701508031854,0.21,0.226391330875377,-107.004856675673,-67.5680594508434
0.182030160637081,0.21,0.224230073478528,-107.607767168259,-68.17096994343
0.207045240955621,0.21,0.221873578726457,-114.14548460448,-74.7086873796506
0.232060321274162,0.21,0.2193790483739,-124.141014404824,-84.7042171799945
0.257075401592702,0.21,0.216801423613635,-136.181211670519,-96.7444144456899
0.282090481911243,0.21,0.214191500887924,-149.425384245887,-109.988587021058
0.307105562229783,0.21,0.211594337519567,-163.357534714129,-123.9207374893
0.332120642548324,0.21,0.209048037847421,-177.653362883946,-138.216565659117
0.357135722866864,0.21,0.206583164866787,-192.105430327143,-152.668633102314
0.382150803185404,0.21,0.204222820345424,-206.5794468386,-167.142649613771
0.407165883503945,0.21,0.201983258040048,-220.987932272789,-181.55113504796
0.432180963822485,0.21,0.199874823153,-235.273922781055,-195.837125556225
0.132,0.24847140632103,0.228290407751495,-82.0554695991251,-42.6186723742957
0.15701508031854,0.24847140632103,0.226490869763523,-71.8670467369905,-32.4302495121611
0.182030160637081,0.24847140632103,0.224422836720023,-70.9335245914577,-31.4967273666283
0.207045240955621,0.24847140632103,0.222138683533338,-75.5382733697492,-36.1014761449198
0.232060321274162,0.24847140632103,0.219694735766099,-83.5477375046839,-44.1109402798546
0.257075401592702,0.24847140632103,0.217146982329997,-93.6750030929735,-54.2382058681441
0.282090481911243,0.24847140632103,0.214548427652506,-105.117947638931,-65.681150414102
0.307105562229783,0.24847140632103,0.21194683737566,-117.364466644351,-77.9276694195216
0.332120642548324,0.24847140632103,0.209383021167232,-130.081498079795,-90.644700854966
0.357135722866864,0.24847140632103,0.20688991780054,-143.049285431355,-103.612488206526
0.382150803185404,0.24847140632103,0.20449251273686,-156.12127845831,-116.68448123348
0.407165883503945,0.24847140632103,0.20220841664084,-169.199078555922,-129.762281331093
0.432180963822485,0.24847140632103,0.200048853632636,-182.216456339053,-142.779659114224
0.132,0.286942812642061,0.228365119506818,-69.4256326603866,-29.9888354355572
0.15701508031854,0.286942812642061,0.226690040670493,-56.6389252564879,-17.2021280316585
0.182030160637081,0.286942812642061,0.224738186774368,-52.5612628191144,-13.124465594285
0.207045240955621,0.286942812642061,0.22255558423336,-54.0760126786082,-14.6392154537788
0.232060321274162,0.286942812642061,0.220194882894367,-59.2460971987778,-19.8092999739484
0.257075401592702,0.286942812642061,0.217710700191435,-66.8253382677882,-27.3885410429588
0.282090481911243,0.286942812642061,0.215156431872941,-75.9946623451162,-36.5578651202869
0.307105562229783,0.286942812642061,0.212581415281631,-86.2070256602955,-46.7702284354661
0.332120642548324,0.286942812642061,0.210028668118251,-97.092220767725,-57.6554235428957
