"scenario","range_prob","sigma_prob","fitted_range","fitted_sigma","fitted_beta","runtime_sec","raw_mlik","exact_loglik_at_legacy","exact_gap_to_optimum","posterior_corr_vs_exact","posterior_rmse_vs_exact","posterior_corr_vs_truth","posterior_rmse_vs_truth"
"weak_balanced",0.5,0.5,0.303480648402593,0.362996852665879,0.195837443571869,5.443,-89.0520580426154,-89.0520580167813,0.0276534692648625,0.999996115096336,0.00106964902726406,0.906751260135735,0.149895338851852
"strong_smooth_lowvar",0.1,0.1,0.310747252702859,0.364053046482322,0.195599565285081,4.627,-89.0829458358058,-89.0829458120422,0.0585412645257861,0.9999667156197,0.00273156333808854,0.906805634840342,0.149786027903003
"strong_rough_highvar",0.9,0.9,0.300608971764872,0.362631374177648,0.195930723525303,4.666,-89.0486497230835,-89.0486497381009,0.0242451905844518,0.999999408255329,0.000897788647453415,0.906721870434054,0.149946988029349
