"method","status","reconstruction_mse","varprop_1","varprop_2","varprop_3","abs_cor_with_raw_pc1","abs_cor_with_raw_pc2","abs_cor_with_raw_pc3","message"
"raw_grid_prcomp","ok",0.682692754517711,0.880317972445792,0.0846521900137768,0.0205828490536902,1,1,1,"Base R prcomp on centered daily grid values."
"fda_pca_fd_bspline","ok",0.850870531416607,0.88640337279958,0.084826406032628,0.0194636739093118,0.997616495500874,0.99688425678418,0.967416835240989,"fda::pca.fd with bspline basis; nbasis=35, lambda=0.01."
"fda_pca_fd_fourier","ok",0.845845854629022,0.886396679677559,0.0848138878083344,0.0195541023709064,0.997799380019711,0.996831132340109,0.969815403527549,"fda::pca.fd with fourier basis; nbasis=35, lambda=0.01."
"fdapace_FPCA","ok",0.682692951573185,0.893236395287804,0.0858868771582941,0.0208767275539016,1,1,1,"fdapace::FPCA on dense list-form trajectories."
"refund_fpca_sc","ok",1.01529279980165,0.89582006035274,0.0852182561395109,0.0189616835077487,0.996215328920401,0.993758518673698,0.947051281135142,"refund::fpca.sc on dense matrix trajectories."
