"component","ifpca","regularized_fpca","pace","selected_kappa","min_cv_kappa"
"PC1",0.779809345122917,0.886368538649521,0.893236395287804,103,181
"PC2",0.124310011640395,0.0851517876054893,0.0858868771582941,60,158
"PC3",0.0155429744797971,0.0203884973237331,0.0208767275539016,13,162
